class,comments
1,allinit1 yourxa0hypocrisyxa0is sickening you ignorant loser
0,fast furious didnt work out like they planned did itlololololololol
0,mitt isnt the best candidate for presidentbut going against the worstxa0candidatexa0ever should help him tremendously xa0lolxa0nnobama is one and doneit could happen no other way
1,i cant believe the stupid people on this site that have no idea what is going onxa0 you foolsxa0 you are all useful idiotsxa0 they are hiding the truth because you fools who protect him would look like the useful idiots you are
1,fucking behave then you prick 
0,the only other relevant fact is that he is destroying america 
0,you are a liar
1,is that it your sum total to any conversation is first abuse and then calling them a troll  you are a typical socialist idiot keep up your non existent class warfare it is as pointless as you
0,beanstalk briview welp then nbw right
0,good job fellas i didnt quite read the rules about a signature piece but i guess that was as good as any i found some great blogs to follow and to share over at g+ if im not commenting on your blogs its because i always throw my two cents in when i post my share add me on there if you are a googler nhttps plusgooglecom1011001posts again congratulations to the winners and i hope we get the chance to submit something else this was fucking fun
0,i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment the lady had a kid 1 week ago women arent safe to have sex after child birth for at least weeks so even if this wasxcxa0consensual it would have been wayyyyy too soon and hurt the lady i am so glad the the baby is so young and will not remember this event happening in its house and i hope the mother recovers quickly
1,faggot
0,you right if you are relaxe then you can give better result or perform and your identity should be from your work
1,aimless abe you are a delusion weirdo that should be locked up inside and kept away from computersxa0 anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end
0,that i do not doubtnnas a blackberry clonennbut your original argument was not that android would have existed just that android somehow predates ios development
0,okc should work out a deal to get a pg who plays more like parker or cp i think nash at the point and move westbrook to sg that team would be unstoppable imagine the shots nash would create for durant then westbrook would be at his natural position too the guy doesnt create shots or distribute
0,mahers show goes on and onnpalinsxa0 alakda show gets cancelednnisnt the free market wonderful
1,even as a troll you are a pathetic failure
0,grazie mille sabrina sei cosxec dolcennbaci
0,yeah well it would still be better than letting them sit there for 00 years on my dime before sticking a needle in their veins i say give them all a noose if they choose to kill themselves so be it
0,umnxa0nholy fuck i need a cigarette
1,youre a moron truth is beyond your reach
0,you seem wistful
0,damn speedy recovery paulraining prayers down on you 
0,the laughs you two heard were triggered by memories of his own highflying exits off moving beasts
1,your antisemitic rants are not welcomed here you are a racist moronnfu 
0,nonstopdrivel was fredex on this team
1,god youre tiresome get a life you loser
0,stop pretending ur not bradleys side youre the bsare u blind dont give us that stupidxa0longxa0explainations of yoursxa0youxa0xa0sounds like that idiot judges exactly carbon copy  arum we need our moneyyyy bacckkkkkkk  
0,fucking weird game man
0,i told you i would give it if you did you started acting likje a tough guy behind your moms computer then i asked you 0 times for an address and you still wont give it
0,i dont know if lewis is a little boy or little girl either way it becomes the third on my list of petulant idiots you will understand when you grow up ask an old bastard member of your family to explain such actions cannot be tolerated how come you blame the line judge weird
0,thats a pathetic flop fuck you jvg
0,why should they bother improving ios if they sell more phones than they care to produce these advice are better served to the alsoruns wp first and foremost
0,spursruss i live in argentina and its not all argentinians the problem being those who are loud on the issue are ill educated and you can be sure they wouldnt be rushing to fight anyone they would be cowering in the background my wife is argentinean and she is the first one to recognize the stupidity of the claims some of muppet think they fought their independence against the uk morons the lot of them the answer is simple if we were the leading colonial force you would be an english speaking country you arent because werent it was spain portugal france our interests were commercial also the worst part is they themselves exterminated the natives the spanish started it but actually it was the newly formed argies which did most of the killing of the native lovely eh clueless stuff you wonder why the government gets away with corruption so many ignorant people thats whyyou shouldnt judge all by the standard these a huge amount of argies who see the cristina drum beating for what it is the same as al presidents of argentina do using it to cover their failing
0,you better hope because the marlins have a history of giving up their superstars
0,well you guys have gone and done it now you put the words china and chinese up the required number of times for the dating asians ad to come up evidently ms zhang 0kg and 1cm for a bmi of 1 from hunan china wants to meet me she has her little mouth open like shes speaking whats that you ask zhang well yes as a matter of fact i am a physician why are you clapping your hands together and jumping up and down stop that squealing young lady and exprain yourself 
0,you mean like your off topic obama rant bellow
0,i hope they do it inconjunction with july 
0,surely will be a crushing blow when he doesnt get the next four years would you consider leaving the country
0,i havent watched fox news in years true
0,are you in france
0,ill take that tempi really hate the heat
0,alexis bledel can act wait can she i have this blind spot when it comes to impossibly beautiful women shit maybe she cant act fuck what the hell do i do nownnwhat the hell do i do now 
0,i like your commentsnhowever i would go one step further its not time to let the people of il fight backnrather the citizens of il just need to fight back period ni will carry next time i travel into little beirut ie chicago
1,fact  georgia passed a strict immigration policy and most of the latino farm workers left the area vidalia georgia now has over 000 agriculture job openings and they have been able to fill about 0 of them in past year all you white real americans who are looking for work that the latinos stole from youwhere are you the jobs are i vadalia just waiting for youor maybe its the fact that you would rather collect unemployment like the rest of the tea klaners you screamyou complainand you sit at home in your wife beaters and drink beertypical real white tea klan
1,of course you would bottom feeder 
0,mxe1tenlos nhttp 1bpblogspotcomyvszmvvirwtmokfaugmiaaaaaaaaa0knllaahknniss100kill it with fire kill it kill it with fires0x1jpg
1,you arexa0 a fukin moron xa0xa0 you are just butthurt that you got rejected on wikipedianncall yoursilf scolar or whateverxa0 i am better than youxa0 just 1 and already a wikipedia administratorxa0 you are just a stupid ashole
0,he is doing what any president does on this dayni do not recall if other presidents appeared at the wallnnelection year yea but then again you would never say anythingnif he did not appear you can not have it both ways
0,yeah and youre a fing expertgo back to picking through trash barrels you tool
0,those trails will definitely get plowed regardless of the investigation theyll just see it as easier to plow the area than deal with it and once they got plowed i would never return or risk getting stopped and heavily questioned by the popos nnps all the stupid comments are unnecessary its really easy to be cold and heartless and act like you dont give a fuck but id like to see these anonymous commentators talk shit like that in front of this persons family or even their own mothers grow up children and learn some respect
0,suh had a sack the last time they played
0,and you are support argument aholennnot everyone games on their pcs either xa0spec whores miss the point entirelynni prefer the mac to my daily work xa0that beings said im also a big believer in the best tool for the job and there are certain things that pcs do better database and servers for instance nnthe thing is that you havent proved anything other than an anti apple bias and name calling guilty myself to get your attention id just juvenile
1,you are a fucking dumb ass  go back to you xbox dickhead grow up you little fanboy
0,you know what would be fun if you guys talked crap back to us more entertaining
0,beeline sidneycatsby im assuming you are in school in the states
0,they should put all the gay and lesbians on an islandxex0xaxcxa0 oh wait there is manhattan 
0,yolo this is hilarious canyon students are so racist even though most of us are mexican fuck gabby 
1,lets see your papers arealconservatinntill then shut the fuuk up stickychin
0,an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religionxcxa0 you all arent victims of religious oppressionxcxa0 you are the oppressorsxcxa0 btw im not gayxcxa0 i just love how you people try to defend your persecution of others while claiming your are being persecuted
1,correction bitch you dont think its superb because your hating ass doesnt know talentand again i am still waiting on you to submit a video of you singingwhere is the youtube link i am sure you will get all kinds of rave reviews lol
1,i think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg  go back to sleep we will wake you when you are needed again
1,and you keep on your knees and keep telling yourself that is a sausage in your mouthxa0 and that is cream cheese you are swallowing
0,what was that like 000 words about nothing youre going after andrea mitchell what was fox infomercial not broadcasting yesterday how about the apologies issued for the epa drones and yet here you are attacking andrea mitchell about some stupid gas station gimmicknnheres another newsflash for you mr romney r1 is out of touch we all already know it mr romneys amazement wasnt just about some gadget at a petrol filling post but that people could actually buy food products there and that they actually eat itnnthis very second mr romney isnt even carrying a wallet and it is very likely that he doesnt even know where it is im still waiting for someone to ask him the tough campaign trail question of how much does a gallon of milk costnnandrea mitchell and gas station food unbelievable
0,rourke needs to give me a fucking likexa0xa0jwoudexa0hows everyone doin
1,fuck you both
0,powersnnmsnbc is far far more biased and hostile in its comments than fox at least at fox there are usually opposing views msnbc is just a shill for the president and they keep having to fire their hosts for all the outrageous remarks they makennnow cnn is getting almost as bad as msnbc
0,what horrible trades are you talking about
1,and retards like you back to the institutions
0,weapons lol hes an idiot an waste of human space had it made and ruined it all
0,not a big fan of rondo but the dude can balli wouldnt classify him as a big talker just trying to psyche himself up
1,pig maher you forgot your meds again you know you are one sick sob so dont forget
0,its not just the rich screaming about taxesxa0 its the average middle class american who pays hisher taxes and doesnt see the benefit of those taxes but instead sees waste xa0 i pay federal taxes but i dont use public schools im not collecting any govt welfare or benefits i pay for my own healthcare etcxa0 i use the roads and sewers so i dont mind paying the city taxesxa0for thatxa0 my trash pick up is private so i pay that directly to the trash companyxa0xa0everyone should pay for what theyxa0use notxa0based on what they makexa0xa0ifxa0one wants to be a part of society one shouldxa0contribute and pay their fair sharexa0 that includes the rich or poor
1,mr king isnt it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you
0,im amused by the fact that weblog cons drop any issue once it turns into a losernnthis is an expression of that amusement
0,gabrielxcxa0 xcxa0getting time to blow that horn
0,exactly like i dont really give a shit how fat a person may or may not feel but it really is shitty when your clothes dont fit and not in a im so gross way but in a i cant very well leave the house naked  way
0,welfare queen into a whore not a crack whore xa0i think a whore is a more productive worker than a welfare queen
0,political correctness nnpolitical correctness is a doctrine fostered by a delusional illogical minority and rapidly promoted by an unscrupulous lamestream media which holds forth the proposition that it is entirely possible to pick up a piece of cht xa0by the clean end
1,what an ass you arefunny i see a lot more of you nuts in cars then i ever have of pilots in panes
1,you can take international law andxa0 shove it you are such a schmuck i don t know why i even comment on your idiotic posts the peace activists on the ship started hitting the soldiers with weapons in order to kill the
0,blown is a little pissy after he applied for a union job and was turned down he is just another good republican minion spreading todays message
0,if you dont have a teleport and airmix ups you are nothing to me
0,stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period
0,robert moroni you fuckin dimwit do you know what a parody is its a fuckin parody of fox news and it sounds accurate to me 
1,the most evil callous vile creature in all of mythology is your made up god stop killing and eating babies you dirty christard 
0,oops xa0how embarrassing for me you are right people1st i bow to the superior movie intellect of your son  
0,if you throw trash out your window you get a yellow star bumper sticker
0,once more we see where the soft immigration policy has let the citizens down i bet they come from a family who have less education than a retarded hampster yet were given a nice new life in britain reap what you sow
0,nope not working for me eitherwwwfacebookcomannagillmodelnn nnyou have my email 
0,that jump shooting bit gets old when you dont get calls on contact and get your shot thrown off you look for separation and you jump shoot especially if you aint big which is most teams because bigs and longs are rareexpensive at pro level
0,this was a tough loss for us right now there are guys blowing each other in the locker roomnnscott brooks
1,youre a complete and utter moron
1,your still a loser man we must have really gotten under your skin lol
0,the ignorance here is astounding clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it hes guilty she was raped  for all of the morons whove said ugly statements about her or attacked the veracity of her story the only determination that this court is trying to make is whether cash money should be held liable i think its reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protections for that individual i dont care whether cleveland was employed or just a hangeron a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slims knowledge and permission if you went to a store and were attacked by an employee or a friend of the boss who was permitted to hang around premises would you not hold the company responsiblexcxa0
0,fuck hard then fuck slow then fuck hard and then start again
0,axlrodesxa0were you here for the wide receiver drama
0,are you fucking kidding me no mirrors fuck you freesteam
1,nothing was confirmed in the 1th century you moron there was no modern medical science to prove anything dont try to quote from the same period of time that brought us the spanish inquisition you are the lowest of the low i feel sorry for you
1,my best friend who is allergic to wheat corn soy red dye yellow dye pistachios tree nuts kiwis cherries oranges bananas and seafood if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic i know a little about food allergiesxa0nni asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die she said you are a bitch so i do not really think it is insulting that she wants food allergies so she can die i think were back to youre a bitch
0,so not focusing on boston vs miami for a minute whos the scarier opponent sanan or okc
1,floyd has a better knock out percentage than pacman you dumb fuuuuck
0,so wat have u bn doing all along if u want to train them nwwe thot yo presence must strengthen the strike force bt proving otherwsshame 
0,the dean of mean is a typical tory who believes theres one law for him and another one for everyone elsenbig steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the 011 campaign
0,oh fab we have a tennis player who has a sense of humour and who can smile mr murray please note mind you he has left it too late to cheer up misery guts
0,you are repeating yourself mate
1,you are one sick puppy
0,very true indeed ive tried to sit down and study for hours straight without any breaks and im not nearly as effective as when i take a few breaks
0,so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga
1,can i say dick on herenyour a dick
0,niemerg1 rightxa0 never said it was fool proof tho
0,the wonders of plastic surgery 
0,ron paul cynthia mckinney 01nthe all wacko ticket ncalling all paul sheep to the barn for your daily feeding dont forget your wallet 
0,go on move to hollywood join russell brand and take dan lobe with you
1,the way this fucking hoodrat is standing in that picture is boiling my blood id like to meet this cunt in an alley for a few minutes selfish fucking twat
0,hahaha today a group of argentine veterans from the falklands war beat the crap out of a senator of the peronist party the party in power right now for using them for political purposes the people in argentina are getting tired of this show the politicians are doing to distract the argentine population from other far more important problems
0,we afford what we have to afford marco
0,hey moron buttons1 kerry wont be able to bully obama like romney bullied a gay boy when he was in prep school by physically assaulting himnnbut the clown romney wont be able to bully obama in a debate either so its a wash
0,and like it matters you are waiting for next yeari am still living in the playoffssuck on it loser
0,should have hung for what he did this country is all for the monsters that lurk among us  
0,childerzxa0xa0koosh1xa0xa0jwoudexa0xa0welfarecheesexa0xa0sdlxa0xa0nonstopdrivelxa0nxa0nright on as long as we are both open and honest about how we come to our own conclusions i couldnt give a shit if we disagree
0,they are pecking him to death he gives up ugly runs
0,blaine jungwirth definitely thought that only deserved a but hey i takes what i gets 
0,i cant trend im on my ipod touch
0,this was the joint back in the day nnand am i the only one who thought gregory looked like he could be philip michael thomas brother lol
1,how old are u 1 nnknicks fan beeyatch  nnnot a melo ball licker  
0,anything better than the grover norquist tea party wall street corporatist gop
1,bitch nigga you need an eye exam and eye glasses cassie one of the finest women on earth 
0,are you attempting to be kinky herexa0 you have some kind of fetish
0,you get the gold star the best post ive seen on here in months hilariousgreat jobcanadian ps i think we need you to come down hereill sponsor you 
0,how old are you
1,nothing worse then a idi0t who smugs because of who he is gay
1,youre a child rapist in ny you have admitted it many times you sick fuck you have no room to talk
0,jo xa0 the man was a genius
1,anti american piece ofshit you are
1,have you be sipping at th e sacramental wine againnnyou really are a dense little dude
0,yes but remember the government is listening to the views of the owner of wongannwonga will loan your businessxa0money at astonomical rates 
0,the tirade isnt what people caused people to dislike her read her comments like this one i know of her story and her husband we all have stories i mean i almost died and venus is struggling herself so you know its life nnshe comes across as uncaring and selfish on top of that she never gives an opponent any creditits always about what she didnni absolutely like venusconsistently root for her and have for yearsbut serena is an absolutely awful person that needs to grow up
0,stacy c is right dumbama and his fatass wife and their cronies have created this atmosphere of govt interference and what they feel govt entities should be doingxcxa0 schools and others take their cues from the top down and when they see this admin forcing restaurants to publish calories on menus then they feel they should be doing their part for their messiah and become food policexcxa0 i cannot believe that a school puts out an approved food listxcxa0xcxa0i would be suingxcxa0
0,gallup dailynmay 01 u01 updates daily at 1 pm et; reflects oneday changenno updates monday may ; next update will be tuesday may nobama approvalnobama disapproval1npresidential electionnobamanromneynday rolling averagenn it seems the bump romney got is over and the president is on his game
0,this is someone whose selfimportance got the best of him if anyone should be fired it would be tate this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand
0,dont stand on your porch
0,camp has got to come in here and get this guy this is where you earn your money
0,you could not be more wrong the american tea party stands for limited government fiscal responsibility and a return to our constitution the tea party when it rallies or protests does it legally with brains we pay the permits arrange the events say our piece and then clean up and go home the occupukes on the other hand are not only different they are opposite they trespass they steal they show up without permission they damage private property they collect urine and feces to throw on people they set fires they smash store windows they rape young girls i can go on and on oh and the heat ac and warm beds were all paid for by those people dont kid yourself that we are not committed to our cause because we are not stupid like you or ows there is a right way and a wrong way to do things you and the occupunks have choosen the later
0,because that is how they get their rocks off our government is run by pedophiles who sexually torture children
0,he actually said what a spoiled bitch i amxa0 i never hated colton the way most of the posters did because i felt for himxa0 being gay in a republican family can only mean that you have been villifiedxa0 he was dismayed that it was men vs women as that took away any comfort zone he may have hadxa0 the men didnt welcome him and when he got power it went to his spoiled bitch head
0,with inbreeds being the longest running malcontents
0,quote from teresa may that is why we have been trying to deport him to jordan his home country trying since when does a sovereign have problems trying to deport diseased minded scum like him stuff the eu laws and if the uk is fined by the eussr for doing this then dont pay it and then stop all financial payments to this corrupt experiment it doesnt work its broke so listen to the people camoron and have an in or out referendum now 
0,nilbymouth nnyou are right concerning campbell my bad the qb carosel has me mixed up anyways i still dont like knapp and think we went that road with him once before and do not need to revisit it again cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself if knapp was truely great at what he does he would have had some positive influence on this team with his quarterbacks and in my opinion he didntcarson palmer needs a guy like saunders whose offensive connection to him is undeniable
0,ill like your comment too if it makes you feel better
0,why didnt obama go to wisconsin and urge the republicans to abandon their own america form of austerity
0,if they deleted his post i wold surely be banned for my flaming all over joe  
0,what the hell are you talking about
0,people dancing drinking having fun at the clubs in miaminnlife is good in miami heat won lets get drunknnheat fans
0,this is so american load of utter positive people makes positive lives fake christian bullshitxa0nnput it this way take for example give up complaining this to me just reads like become a walk over if we all gave up complaining nothing great would get done or crap would be accepted go into a hairdressers get a shit haircut for 100 dont complain because you are a happy pissedoff with your shit haircut person whos just been taken for a ridexa0give up the luxury of criticism for a start its not a luxury you can be critical if you want i believe it is a trait that i enjoy why many people are idiots its the truth if you are in a job and you dont criticise people who do crap work then youll have an officeworkplace full of people who cant do their jobthese are basic personality traits of intelligent people but i guess retards are happier than all of us
0,youre one of my favorite commenters
0,dude it looks nothing like the fagbox it looks more towards playstationmeetsalienware console it has already been proven that modern consoles continually progress towards a pc so please take yourxa0idiotically painful commentsxa0elsewhere
1,howe does it feel to be a freedom leech parasite
0,and all the arseanal fans silently weep into their hankies nntheres nothing to see here fellas hes a free man and still the spurs manager nn nnunlucky 
0,yes you have to have comedy in your life
1,moron the latinos are becoming a large voting block you cant just dismissed them like you did with blacks gay women and other minoritiesnyou need a majority to win and all whites dont buy your crap
0,when is bush going to be asked to campaign for romney when he does ill buy you a dinner i wonder why bush is not wantednnthe better question is why a sitting president like obama is not wanted nnnotice he did fundraisers the weekend before the vote all around wisc never stopped in wiscnnnotice no one wants his help campaigning
0,wait till a raptor grabs it in mid airbad days man
0,have you ever given him props or at least not dissed him out on any thread im not a fan of his movies either but that dont mean i start talking shit on every fucking post
0,big o other that dynamic has been clear since the teabaggers threw their first tantrum in january of 00 and rush declared that he wanted the president to failnn nnthey want the economy to suck they need the economy to suck this explains their otherwise puzzling legislative choices over the past three years
1,you are stuck on stupid obviouslygive me a break and dont votenmoron
0,this mans drunk as fuck hes on drugs hes a male prostitute
1,who told you thatstupid ask yourself who kick his daughter out of the house at the age 1when its comes protecting weaman you guys the last ppl on earth who can open their mounths
0,lets go westxa0try big 100nthey are dope
1,ight ima get in on you mr army man or we the fuck you are i have family fighting on battle field right now atleast 0 members are all juggalos just like me you little ick sucking divk whipped bitch if you have the time to sit here and talk shit about family then you obviously arent doing your job fighting for our country your busy trying to start another world war with the juggalo family so shut the fuck up and grow a pair you pussy
0,you are so correctthe red sox are the worst team
0,headlines going to be in a few months mark wright reject back home
0,i didnt watch game so this morning watched sky see what fuss was about i have to say at times football fans have to put there loyalty to respective clubs aside what ballotelli did was a disgrace he won;t admit it but that was deliberate and has no place in football i will be amazed if he isnt banned
1,are you retarded you think iraq afghan were avenging deaths lol get yourself checked buddy even bush would laugh at younnthere is a reason why we are proud of india cuz we are not like us or israel who will or can go to war at the drop of a hat on the long run even that is proving costly to themxa0nnso wake up we are talking about music here not war you dumb moron
0,no matter how great your body looks theresxa0something pathetic desperate and trashyxa0about a woman that old acting like that 
1,piiisii apparently knows nothing about cold factsnnrepublican trolls make us all sick with their non factual crapnnyou can cry until 01 your lies mean nothing to intelligent people
0,the bad part of the story is the dumb redneck republicans like yourselfnnnot sure if these folks are sociopaths like you though so youre probably a downgrade from them
1,you as stupid as you were yesterday
0,i may never see the light of day againhe should never see the light of day again twisted beyond belief you couldnt do what he did to a dog let alone another human being 
1,there are a lot of morons posting on this site but you are in a class all by yourself
1,you are a moron
0,how the fuck do you have orange beef but not orange chicken
1,suck my dick yeaah babby pussy
1,autumn you are and idiot nnred flag 10 girls with no sense of humor
0,eli manning brett favre john elway
0,if she wont sleep with you you could probably just force yourself on her and any reasonable judge would take that tattoo as a permission to date rape stamp
0,holder and obama will be hit back from all directions and 1000 times as hard dozens inside the doj and the wh who have dignity and patriotism will turn on them both like rabid dogs this administration is goind down and right into federal prison nothing can stop it now nothing at all the people are pissed off and out for headsnnholder peice of shitnnobama fucked up sociopath
0,so is a skunk half black and half white and they both stink why do b l a c k people stink so blind people can h a t enthem too lol
0,i wonder if thatd stand up in court he might have killed someone but fuck me he can play cricket he was a prick
0,theyre not the pg proposal is a list of people who have committed crimes with a gun not a way to register guns is no one elsexa0disturbedxa0by the idea of the government maintaining lists of people they dont like cue you know who else had lists of people they dont like jokes in 
0,david cyberduckie you know if you stick a screw driver in your mouth and bang on your fillings you might be able to pick up an easy listening channel
1,thats because youre a nobody
0,the korem foundation will never see another dollar from me
0,i just did it but for some reason its not registering maybe needs some time
0,i could be as effective ineffective as huff
1,yo this my nigga right here my n my boi lil b fuck bitches on the regular we fucking everyone bitches tell yo boys that yo bitches aint safe when mel gibson n lil b rollin out on a bitch hunt
0,oh hey i have yousaidit if you like
0,xcxa0it means the world isnt changing it means the world has already nchanged steven goldstein chairman of the gay rights group garden nstate equalityxcxa0 but right is right and wrong is still wrong 
0,omg are you a vs girl also  nndid you hit up the semi annual sale i went fucking crazy 
1,you are incredibly stupid
0,slipresistantshoesxa0in a few years theyll make a damn movie about itnxa0nuncle daddy rides again
0,i like you aggie
0,obamawon due to the media not doing their jobs we still know nothing about obama and its almost years later why 
0,god bless you and may you live a long and fruitful life and spread your wisdom
0,ha im glad you are penas girl you know he really wants to play for the red sox hes from boston and went to northeastern but got cut by the sox and hes terrible haha you have zero valid points
0,i am a moderate i am fiscally conservative but am moderate on the social issues the republican party is no longer the party of goldwater teddy rooseveltxcxa0 nor even reagan the gop is the party of jerry falwell tony perkins and people like michelle bachmann nbecause i am gay and can not find a place in the gop i voted for obama in 0 nhowever this year ixcxa0am considering voting for romney this year nrepublicans better hope romney gets the nomination because santorum would be handing the election to obama santorum isxcxa0scary conservative he wants the government to be all up in peoples business and i wouldnt be surprised if a presidentxcxa0santorum created a morality policeni believe the majority of americans are moderate and what this country needs is a moderate i am so tired of us swinging from extreme left to extreme right and back again
1,why did you do that because you smell like dog poo youre so stupid just like dog poo youre made outta poo 
0,the democrats would sell out our young job seekers for a handful of illegal votes and a 0 cent tomato
0,pass on grass and pass on rainbows and wings
0,you wouldnt know a failed policy if it sent you and all your neighbors to the poorhouse
0,but jack from raleigh wasnt done he came back with this bit of furious grammatical genius nholy hell jack calm downnngod dmn hilarious nnwho writes your material grazid nnmm never even acknowledged we were here well accept when uber ticked him off  grazid not only interacts with us he calls you dumb when youre being dumb right beeaner
0,maybe republicans cant use filibusters in union votes to grind all decisions to a haltnn0 is probably enough to win elections there
0,dan tmnobjustryan a funny thing happened on the way to that forum but all the optimists were too happy to notice 
1,yeah im pathetic but your the idiot going around trolling other teams pages why dont you get fing life you little sh1thead
0,ron paul could start his own third party tomorrow and suck a large percentage of democrats republicans libertarians and independents with him you think ross perot was bad ron paul might even challenge to win running as a rd party candidate 
0,we can tell by their mugshots who is pinky and who is brainlol
1,ugly bitch go prostitute yourself so dat you can buy a big enough pant bottom to cover your gigantic ass 
0,if you want to lick jewish ass go do it in jerusalem but stop using this country you israelfirst traitor
0,agreed you come on here to proclaim a useless point to who the cnn community parasites that have nothing else better to do then trying to make a valid point towho
0,sdl unless that happened by chance
0,are you edgetriggered or leveltriggered
0,nice smellinger spelling sphincter
0,how do you knownnbesides who says everyone has to have moral standards based on my gardener
0,too bad that wouldnt do anything about the gay american citizens found in all other states
0,mr cagape the things youve listed are true but only the tip of an icebergnive been in hong kong for two years now and the longer i stay here the more i hate this place xcxa0its horribly crowded which leads to plenty of rude people and deathly polluted air xcxa0its ridiculously expensive and even so the nicer and expensive restaurants are always booked out and the services are shit xcxa0its superficial; if you are or want to be a nice person you will always get taken advantage of unless you dress in such a way that says im rich on your forehead xcxa0even if you are rich like some of the chinese mainlanders that rush into the city for a weekend shopping spree you will still get treated like shit xcxa0i dont get why people love hong kong so much xcxa0it may look civil on the outside but on the inside its rotten to the core xcxa0its just capitalism you may say but i dont see it in the us and i dont even see it in china mainland which contrary to what they argue is very much capitalist xcxa0living here doesnt make me rich it makes me pull ot everyday put up with selfish rude people everywhere and pay ridiculously high rent for a tiny apartment every month xcxa0if i live here for another two years i will become so bitter that i might just fit in
0,yeah i know i am being a troll on purpose i still and will always be known as jskop i do not have to change my account every few days because im awesome like that i can troll one day and the next be taken seriously by everyone
0,you all including your son deserve a slow painful and miserable deathnnthats how zimmerman stands his ground
0,if you wrap your computer in foil you can stop them from taking your posts down
0,she is ugly so she would complain 
